block_uuid,block_name,block_norm,district_name,district_norm,vintage,centroid_lon,centroid_lat
ce90595d-d934-4775-b942-d357d13292c1,DAG,DAG,JHALAWAR,JHALAWAR,2019,75.72795646286816,23.93513232934197
2dd60eee-f688-4bb4-b0fb-5033db3161c1,JHALARA,JHALARA,UDAIPUR,UDAIPUR,2021,74.14234162509499,24.06455651780699
3558ee7f-7b23-43f3-ac46-53c426eedee2,BAYANA,BAYANA,BHARATPUR,BHARATPUR,2021,77.29304691067087,26.892847119658203
988a2ead-5ce0-4477-9b40-9b0cf96c346f,KHARCHI (MARWAR JUNC,KHARCHI (MARWAR JUNC,PALI,PALI,2019,73.68912637035349,25.678243901431046
db0e5872-df6f-41d2-8894-27e7390bb22e,HANUMANGARH,HANUMANGARH,HANUMANGARH,HANUMANGARH,2021,74.28953226689264,29.5508178320302
0538d9b9-e86e-4090-b490-28e823ba1259,ANUPGARH,ANUPGARH,GANGANAGAR,GANGANAGAR,2021,73.2145296030433,29.168058137251254
12085d69-1926-42e1-a71b-4604bb2a4fdb,TARANAGAR,TARANAGAR,CHURU,CHURU,2019,74.96248563522927,28.70455269794936
18478610-9832-4366-bb1c-cbf6bb9e0d3b,RAILMAGRA,RAILMAGRA,RAJSAMAND,RAJSAMAND,2019,74.12004879019027,25.007634639216622
53fbab81-4658-45bb-b20d-27504889a01f,NADBAI,NADBAI,BHARATPUR,BHARATPUR,2021,77.22042700017813,27.196082680515584
2adf0122-e6dc-4ca3-9eb4-26ce34a43b3f,GANGAR TALAI,GANGAR TALAI,BANSWARA,BANSWARA,2021,74.18094706810831,23.25862704078504
1f0d0f50-431e-4519-9b4a-a49cb63ed35e,BASSI,BASSI,JAIPUR,JAIPUR,2019,76.07894345385775,26.822812687849662
4054d046-5844-469c-b9e6-244af8db8f1a,REODAR,REODAR,SIROHI,SIROHI,2021,72.50758437905881,24.62648845546456
831a082a-5bda-4ff6-826c-25c55777ea36,GALIAKOT,GALIAKOT,DUNGARPUR,DUNGARPUR,2019,73.97478312084615,23.54372698866926
63a3d2ee-2dc6-4a8e-b62c-b30f37de1895,MASOODA,MASOODA,AJMER,AJMER,2021,74.52190655904487,26.060425311611077
859b6aff-c2aa-436e-bb6c-d9ffad5ae366,BONLI,BONLI,SAWAI MADHOPUR,SAWAI MADHOPUR,2021,76.31422357620113,26.305029243161243
89427385-6988-4e14-a2b7-98c2b761bed9,BAP,BAP,JODHPUR,JODHPUR,2019,72.382379270246,27.388399522340272
35eefa69-18fa-4ec2-bdf2-1d0a0c97b48e,NAWALGARH,NAWALGARH,JHUNJHUNU,JHUNJHUNU,2021,75.34146676379886,27.864386608761393
458a477e-f7b5-440e-a762-1ab904671b53,SHAHPURA,SHAHPURA,BHILWARA,BHILWARA,2019,74.90701091289873,25.688004441253494
b00d2ebc-5f9b-46c4-bcd5-3e30749dea91,NEEMRANA,NEEMRANA,ALWAR,ALWAR,2019,76.37583658307368,28.0460723931384
ec8b4b4c-8482-4615-bcbf-f7106b6b11dc,BALI,BALI,PALI,PALI,2021,73.2359739967993,25.04809892750212
c35166da-77a9-4ff6-9384-be79a2bcd617,PATAN,PATAN,SIKAR,SIKAR,2019,75.95133074282916,27.769163849763363
7fe8d738-7fc4-4fd7-97b7-20918caf95f1,BIKANER,BIKANER,BIKANER,BIKANER,2019,73.37805670502217,28.080187089641505
327f0370-386f-4849-85fc-4ffb1870129a,AMBER_RURAL,AMBER RURAL,JAIPUR,JAIPUR,2021,75.89964082853183,27.119055318242374
bff322e9-4ddb-4dc4-99c0-848f65cd6a7e,BAGIDORA,BAGIDORA,BANSWARA,BANSWARA,2019,74.31168313085894,23.408047800819627
fd291fed-4bee-4134-b197-a1ad6415c9fa,SHEOGANJ,SHEOGANJ,SIROHI,SIROHI,2019,72.90581122997851,25.09067266155057
47aa30d4-5cc5-4bbe-bdcf-c5f40771b552,PINDWARA,PINDWARA,SIROHI,SIROHI,2021,72.97934299771556,24.708600560970666
92cac0be-0d1c-477c-877b-33fa6a52a14e,AKLERA,AKLERA,JHALAWAR,JHALAWAR,2021,76.51644552878778,24.331826746133224
d08e6ddb-aad8-420f-a9fe-58405e3bf00b,BANSUR,BANSUR,ALWAR,ALWAR,2021,76.35835057897536,27.682740501483096
f7b77d7b-494b-4481-bccb-69e98db5aa0b,MAKRANA,MAKRANA,NAGAUR,NAGAUR,2019,74.56911536960882,27.05003482483048
6b5563c3-4eba-4bbe-bfb1-e9001f040dd6,BARI,BARI,DHAULPUR,DHAULPUR,2021,77.65063033402258,26.6172813295244
8c41c21a-360c-4765-9934-91a4f059f6d1,RENI,RENI,ALWAR,ALWAR,2021,76.72423665977992,27.206070546548833
ba2c122c-f1cd-49a3-9f47-3fb07811ca2f,REODAR,REODAR,SIROHI,SIROHI,2019,72.50758433516343,24.626488499989673
3846c3ab-18f0-4ba2-99fa-2ebb9ba8fff9,GARHI,GARHI,BANSWARA,BANSWARA,2021,74.20410064465894,23.64182744102474
f8bcbc09-7d93-481a-a1ad-09918644d1f0,RAISINGHNAGAR,RAISINGHNAGAR,GANGANAGAR,GANGANAGAR,2021,73.43995070207244,29.4979214992455
79c036ea-9151-40c3-a671-7df1349e77fa,GANGRAR,GANGRAR,CHITTAURGARH,CHITTAURGARH,2021,74.63663189769454,25.069428573203627
3fa9c594-73e4-4190-a4ab-01156fbbc878,GUDHAMALANI,GUDHAMALANI,BARMER,BARMER,2021,71.70544518830863,25.26869352803728
c797096e-cf44-4cf9-8ef4-111a535e9121,DOVRA,DOVRA,DUNGARPUR,DUNGARPUR,2021,73.86673233081788,23.848775658337708
